언론사,Bias_Score_A,Bias_Score_B,Bias_Score_C,Influence_Score,Rank_A,Rank_B,Rank_C,Cluster_A_KMeans,Cluster_A_Hierarchical,Cluster_B_KMeans,Cluster_B_Hierarchical,Cluster_C_KMeans,Cluster_C_Hierarchical
KBS,0.0642950262992422,26.80655774040099,0.0599768347061166,1.8787597811898615,17.0,14.0,17.0,0,0,0,0,0,0
MBC,0.150873911339709,27.62432375470885,0.1422368743815699,1.7965364728501745,5.0,9.0,5.0,0,0,0,0,0,0
OBS,0.0220943667725907,26.781227625806743,0.0220943667725907,-0.2356164181231791,18.0,15.0,18.0,0,0,0,0,0,0
SBS,0.0728300437607259,30.194996449096447,0.0728300437607259,1.523114826684615,16.0,2.0,13.0,0,0,0,0,0,0
YTN,0.0770366661706351,29.702769122390507,0.0708310159944735,0.9799556912398524,14.0,3.0,14.0,0,0,0,0,0,0
경향신문,0.0729197649078558,26.730051689991583,0.0695838318801073,1.3038057336108095,15.0,16.0,16.0,0,0,0,0,0,0
국민일보,0.1322427599944971,27.156760203983108,0.1210869212061361,0.0583927173476364,8.0,12.0,8.0,0,0,0,0,0,0
내일신문,0.077959057288248,25.88105570534577,0.0704385279449823,-2.4534144638781106,13.0,17.0,15.0,0,0,0,0,0,0
동아일보,0.1407689967149683,28.81339203551344,0.1321451717500914,2.3916114416605967,6.0,5.0,6.0,0,0,0,0,0,0
문화일보,0.0886802781446222,27.551387579282444,0.0838019855808057,0.8817698318562378,11.0,10.0,11.0,0,0,0,0,0,0
서울신문,0.1058247229189442,27.03975596577545,0.0958220002511663,-0.0420566019628928,9.0,13.0,9.0,0,0,0,0,0,0
세계일보,0.1720926018768155,28.23703606091674,0.1618840319284455,-0.5628379187832737,3.0,7.0,3.0,0,0,0,0,0,0
시사IN,0.6614370909127225,37.302607884824894,0.5024463565044521,-1.3889957552354877,1.0,1.0,1.0,1,1,1,1,1,1
아시아투데이,0.4179877115929707,23.999388606425764,0.4167034321589172,-0.3194984583500219,2.0,18.0,2.0,1,1,0,0,1,1
조선일보,0.0988727654126076,29.46632975021003,0.0937979996278487,3.2785811290696896,10.0,4.0,10.0,0,0,0,0,0,0
중앙일보,0.1373255712859114,27.526209941858166,0.1288013774752456,2.547787393028454,7.0,11.0,7.0,0,0,0,0,0,0
한겨레,0.1590415224320501,27.744209514706,0.1461123709740998,0.1203951063519302,4.0,8.0,4.0,0,0,0,0,0,0
한국일보,0.0794545027091192,28.330073765737573,0.0781935475656712,0.7115261494836624,12.0,6.0,12.0,0,0,0,0,0,0
